FunctionalAssessment,ADL,MMSE,Reward,Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
5.0191,0.0,0.0,1043.6,1.0,1.0,1.0,0.0,0.16
,,,,,,,,
5.059,0.0,0.0,1043.55,1.0,1.0,1.0,0.0,0.1612
,,,,,,,,
5.0108,0.0,0.0,1043.61,1.0,1.0,1.0,0.0,0.1598
,,,,,,,,
5.0214,0.0,0.0,1043.6,1.0,1.0,1.0,0.0,0.1601
,,,,,,,,
5.0311,0.0,0.0,1043.58,1.0,1.0,1.0,0.0,0.1604
,,,,,,,,
5.0114,0.0,0.0,1043.61,1.0,1.0,1.0,0.0,0.1598
,,,,,,,,
5.0163,0.0,0.0,1043.6,1.0,1.0,1.0,0.0,0.16
,,,,,,,,
5.032,0.0,0.0,1043.58,1.0,1.0,1.0,0.0,0.1604
,,,,,,,,
4.9902,0.0,0.0,1043.63,1.0,1.0,1.0,0.0,0.1592
,,,,,,,,
5.0181,0.0,0.0,1043.6,1.0,1.0,1.0,0.0,0.16
,,,,,,,,
5.0296,0.0,0.0,1043.58,1.0,1.0,1.0,0.0,0.1604
,,,,,,,,
5.011,0.0,0.0,1043.61,1.0,1.0,1.0,0.0,0.1598
,,,,,,,,
5.0357,0.0,0.0,1043.58,1.0,1.0,1.0,0.0,0.1605
,,,,,,,,
4.9822,0.0,0.0,1043.64,1.0,1.0,1.0,0.0,0.159
,,,,,,,,
5.0381,0.0,0.0,1043.58,1.0,1.0,1.0,0.0,0.1606
,,,,,,,,
5.0088,0.0,0.0,1043.61,1.0,1.0,1.0,0.0,0.1598
,,,,,,,,
5.2489,0.0,0.0,1043.34,1.0,1.0,1.0,0.0,0.1665
,,,,,,,,
5.0212,0.0,0.0,1043.6,1.0,1.0,1.0,0.0,0.1601
,,,,,,,,
5.0553,0.0,0.0,1043.56,1.0,1.0,1.0,0.0,0.1611
,,,,,,,,
5.0427,0.2974,0.0,1043.18,1.0,1.0,1.0,0.0,0.1706
,,,,,,,,
5.0403,0.0,0.0,1043.57,1.0,1.0,1.0,0.0,0.1607
,,,,,,,,
5.0014,0.0,0.0,1043.62,1.0,1.0,1.0,0.0,0.1595
,,,,,,,,
5.0283,0.0,0.0,1043.59,1.0,1.0,1.0,0.0,0.1603
,,,,,,,,
5.0224,0.0,0.0,1043.6,1.0,1.0,1.0,0.0,0.1601
,,,,,,,,
5.0183,0.0,0.0,1043.6,1.0,1.0,1.0,0.0,0.16
,,,,,,,,
4.9674,0.0,0.8493,1043.28,1.0,1.0,1.0,0.0,0.168
,,,,,,,,
5.0229,0.0,0.0,1043.59,1.0,1.0,1.0,0.0,0.1602
,,,,,,,,
5.0029,0.0,0.0,1043.62,1.0,1.0,1.0,0.0,0.1596
,,,,,,,,
